"","scripts","detailing","lagged_scripts","mean_samples","doctorType","doctorID"
"1",3,1,4,0.721739130434783,"General Physician",1
"2",12,1,3,0.721739130434783,"General Physician",1
"3",3,1,12,0.721739130434783,"General Physician",1
"4",6,2,3,0.721739130434783,"General Physician",1
"5",5,1,6,0.721739130434783,"General Physician",1
"6",2,0,5,0.721739130434783,"General Physician",1
"7",5,2,2,0.721739130434783,"General Physician",1
"8",1,2,5,0.721739130434783,"General Physician",1
"9",5,1,1,0.721739130434783,"General Physician",1
"10",3,1,5,0.721739130434783,"General Physician",1
"11",1,2,3,0.721739130434783,"General Physician",1
"12",3,2,1,0.721739130434783,"General Physician",1
"13",1,2,3,0.721739130434783,"General Physician",1
"14",2,2,1,0.721739130434783,"General Physician",1
"15",0,1,2,0.721739130434783,"General Physician",1
"16",4,4,0,0.721739130434783,"General Physician",1
"17",6,2,4,0.721739130434783,"General Physician",1
"18",1,0,6,0.721739130434783,"General Physician",1
"19",2,2,1,0.721739130434783,"General Physician",1
"20",2,1,2,0.721739130434783,"General Physician",1
"21",2,2,2,0.721739130434783,"General Physician",1
"22",6,3,2,0.721739130434783,"General Physician",1
"23",3,2,6,0.721739130434783,"General Physician",1
"24",1,2,5,0.491304347826087,"Area Specialist",2
"25",8,3,1,0.491304347826087,"Area Specialist",2
"26",7,1,8,0.491304347826087,"Area Specialist",2
"27",5,1,7,0.491304347826087,"Area Specialist",2
"28",3,2,5,0.491304347826087,"Area Specialist",2
"29",9,3,3,0.491304347826087,"Area Specialist",2
"30",2,3,9,0.491304347826087,"Area Specialist",2
"31",10,6,2,0.491304347826087,"Area Specialist",2
"32",6,2,10,0.491304347826087,"Area Specialist",2
"33",4,6,6,0.491304347826087,"Area Specialist",2
"34",4,4,4,0.491304347826087,"Area Specialist",2
"35",5,1,4,0.491304347826087,"Area Specialist",2
"36",11,5,5,0.491304347826087,"Area Specialist",2
"37",1,5,11,0.491304347826087,"Area Specialist",2
"38",1,3,1,0.491304347826087,"Area Specialist",2
"39",2,5,1,0.491304347826087,"Area Specialist",2
"40",0,4,2,0.491304347826087,"Area Specialist",2
"41",4,5,0,0.491304347826087,"Area Specialist",2
"42",2,3,4,0.491304347826087,"Area Specialist",2
"43",2,5,2,0.491304347826087,"Area Specialist",2
"44",4,5,2,0.491304347826087,"Area Specialist",2
"45",5,5,4,0.491304347826087,"Area Specialist",2
"46",3,5,5,0.491304347826087,"Area Specialist",2
"47",10,1,5,0.339130434782609,"General Physician",3
"48",9,2,10,0.339130434782609,"General Physician",3
"49",6,0,9,0.339130434782609,"General Physician",3
"50",6,3,6,0.339130434782609,"General Physician",3
"51",5,2,6,0.339130434782609,"General Physician",3
"52",9,0,5,0.339130434782609,"General Physician",3
"53",5,1,9,0.339130434782609,"General Physician",3
"54",11,2,5,0.339130434782609,"General Physician",3
"55",6,1,11,0.339130434782609,"General Physician",3
