"overallWeekNum","storeNum","productNum","units","weekInYearNum","totalRevenue","isFeature","isDisplay","pricePerCan"
1,3,89,26,1,16.68,FALSE,FALSE,0.641538461538462
1,4,89,2,1,1.58,FALSE,FALSE,0.79
1,7,89,8,1,5.66,FALSE,FALSE,0.7075
1,11,89,1,1,0.67,FALSE,FALSE,0.67
1,12,89,16,1,12.64,FALSE,FALSE,0.79
1,13,89,13,1,8.45,FALSE,FALSE,0.65
2,2,89,4,2,3.16,FALSE,FALSE,0.79
2,3,89,33,2,20.79,TRUE,FALSE,0.63
2,4,89,4,2,3.16,FALSE,FALSE,0.79
2,6,89,2,2,1.68,FALSE,FALSE,0.84
2,7,89,17,2,11.67,FALSE,FALSE,0.686470588235294
2,12,89,18,2,14.22,FALSE,FALSE,0.79
2,13,89,53,2,33.39,TRUE,TRUE,0.63
3,2,89,2,3,1.58,FALSE,FALSE,0.79
3,3,89,108,3,68.04,TRUE,TRUE,0.63
3,5,89,82,3,68.06,TRUE,FALSE,0.83
3,6,89,2,3,1.68,FALSE,FALSE,0.84
3,7,89,16,3,10.92,FALSE,FALSE,0.6825
3,12,89,5,3,3.95,FALSE,FALSE,0.79
3,13,89,62,3,39.06,TRUE,TRUE,0.63
4,2,89,2,4,1.7,FALSE,FALSE,0.85
4,3,89,71,4,44.73,TRUE,TRUE,0.63
4,4,89,1,4,0.79,FALSE,FALSE,0.79
4,5,89,27,4,22.41,TRUE,FALSE,0.83
4,6,89,2,4,1.86,FALSE,FALSE,0.93
4,7,89,19,4,11.53,FALSE,FALSE,0.606842105263158
4,12,89,8,4,6.32,FALSE,FALSE,0.79
4,13,89,57,4,35.91,TRUE,TRUE,0.63
5,2,89,4,5,3.4,FALSE,FALSE,0.85
5,3,89,33,5,20.79,TRUE,TRUE,0.63
5,4,89,5,5,3.95,FALSE,FALSE,0.79
5,5,89,3,5,2.19,FALSE,FALSE,0.73
5,7,89,19,5,9.5,FALSE,FALSE,0.5
5,8,89,6,5,5.34,FALSE,FALSE,0.89
